
 check frequency: 0, call frequency: 1, raise frequency: 0, fold frequency: 0
 check frequency: 0.05319148936170213, call frequency: 0.2553191489361702, raise frequency: 0.20212765957446807, fold frequency: 0.48936170212765956
 check frequency: 0.05263157894736842, call frequency: 0.25263157894736843, raise frequency: 0.2, fold frequency: 0.49473684210526314
 check frequency: 0.052083333333333336, call frequency: 0.25, raise frequency: 0.19791666666666666, fold frequency: 0.5
 check frequency: 0.05154639175257732, call frequency: 0.25773195876288657, raise frequency: 0.1958762886597938, fold frequency: 0.4948453608247423
 check frequency: 0.05102040816326531, call frequency: 0.25510204081632654, raise frequency: 0.20408163265306123, fold frequency: 0.4897959183673469
 check frequency: 0.050505050505050504, call frequency: 0.25252525252525254, raise frequency: 0.20202020202020202, fold frequency: 0.494949494949495
 check frequency: 0.05, call frequency: 0.25, raise frequency: 0.2, fold frequency: 0.5
 check frequency: 0.04950495049504951, call frequency: 0.24752475247524752, raise frequency: 0.19801980198019803, fold frequency: 0.504950495049505
 check frequency: 0.049019607843137254, call frequency: 0.2549019607843137, raise frequency: 0.19607843137254902, fold frequency: 0.5
 check frequency: 0.05825242718446602, call frequency: 0.2524271844660194, raise frequency: 0.1941747572815534, fold frequency: 0.49514563106796117
 check frequency: 0.057692307692307696, call frequency: 0.25, raise frequency: 0.19230769230769232, fold frequency: 0.5
 check frequency: 0.05714285714285714, call frequency: 0.24761904761904763, raise frequency: 0.19047619047619047, fold frequency: 0.5047619047619047
 check frequency: 0.05660377358490566, call frequency: 0.25471698113207547, raise frequency: 0.18867924528301888, fold frequency: 0.5
 check frequency: 0.06542056074766354, call frequency: 0.2523364485981308, raise frequency: 0.18691588785046728, fold frequency: 0.4953271028037383
 check frequency: 0.06481481481481481, call frequency: 0.25, raise frequency: 0.18518518518518517, fold frequency: 0.5
 check frequency: 0.06422018348623854, call frequency: 0.24770642201834864, raise frequency: 0.1834862385321101, fold frequency: 0.5045871559633027
 check frequency: 0.06363636363636363, call frequency: 0.24545454545454545, raise frequency: 0.19090909090909092, fold frequency: 0.5
 check frequency: 0.06306306306306306, call frequency: 0.24324324324324326, raise frequency: 0.1981981981981982, fold frequency: 0.4954954954954955
 check frequency: 0.0625, call frequency: 0.25, raise frequency: 0.19642857142857142, fold frequency: 0.49107142857142855
 check frequency: 0.061946902654867256, call frequency: 0.25663716814159293, raise frequency: 0.19469026548672566, fold frequency: 0.48672566371681414
