
 check frequency: 0, call frequency: 1, raise frequency: 0, fold frequency: 0
 check frequency: 0.18548387096774194, call frequency: 0.3870967741935484, raise frequency: 0.16129032258064516, fold frequency: 0.2661290322580645
 check frequency: 0.184, call frequency: 0.392, raise frequency: 0.16, fold frequency: 0.264
 check frequency: 0.18253968253968253, call frequency: 0.3888888888888889, raise frequency: 0.16666666666666666, fold frequency: 0.2619047619047619
 check frequency: 0.1889763779527559, call frequency: 0.3858267716535433, raise frequency: 0.16535433070866143, fold frequency: 0.25984251968503935
 check frequency: 0.1875, call frequency: 0.3828125, raise frequency: 0.171875, fold frequency: 0.2578125
 check frequency: 0.18604651162790697, call frequency: 0.3875968992248062, raise frequency: 0.17054263565891473, fold frequency: 0.2558139534883721
 check frequency: 0.18461538461538463, call frequency: 0.3923076923076923, raise frequency: 0.16923076923076924, fold frequency: 0.25384615384615383
 check frequency: 0.183206106870229, call frequency: 0.3969465648854962, raise frequency: 0.16793893129770993, fold frequency: 0.25190839694656486
 check frequency: 0.18181818181818182, call frequency: 0.4015151515151515, raise frequency: 0.16666666666666666, fold frequency: 0.25
 check frequency: 0.18045112781954886, call frequency: 0.39849624060150374, raise frequency: 0.16541353383458646, fold frequency: 0.2556390977443609
 check frequency: 0.1791044776119403, call frequency: 0.40298507462686567, raise frequency: 0.16417910447761194, fold frequency: 0.2537313432835821
 check frequency: 0.17777777777777778, call frequency: 0.4, raise frequency: 0.16296296296296298, fold frequency: 0.25925925925925924
 check frequency: 0.17647058823529413, call frequency: 0.40441176470588236, raise frequency: 0.16176470588235295, fold frequency: 0.25735294117647056
 check frequency: 0.17518248175182483, call frequency: 0.40875912408759124, raise frequency: 0.16058394160583941, fold frequency: 0.25547445255474455
 check frequency: 0.17391304347826086, call frequency: 0.4057971014492754, raise frequency: 0.16666666666666666, fold frequency: 0.2536231884057971
 check frequency: 0.17266187050359713, call frequency: 0.41007194244604317, raise frequency: 0.16546762589928057, fold frequency: 0.2517985611510791
 check frequency: 0.17142857142857143, call frequency: 0.40714285714285714, raise frequency: 0.16428571428571428, fold frequency: 0.2571428571428571
 check frequency: 0.1702127659574468, call frequency: 0.40425531914893614, raise frequency: 0.1702127659574468, fold frequency: 0.2553191489361702
 check frequency: 0.16901408450704225, call frequency: 0.4014084507042254, raise frequency: 0.176056338028169, fold frequency: 0.2535211267605634
 check frequency: 0.16783216783216784, call frequency: 0.40559440559440557, raise frequency: 0.17482517482517482, fold frequency: 0.2517482517482518
 check frequency: 0.16666666666666666, call frequency: 0.4027777777777778, raise frequency: 0.18055555555555555, fold frequency: 0.25
 check frequency: 0.16551724137931034, call frequency: 0.4, raise frequency: 0.18620689655172415, fold frequency: 0.2482758620689655
 check frequency: 0.1643835616438356, call frequency: 0.3972602739726027, raise frequency: 0.1917808219178082, fold frequency: 0.2465753424657534
 check frequency: 0.16326530612244897, call frequency: 0.3945578231292517, raise frequency: 0.19727891156462585, fold frequency: 0.24489795918367346
 check frequency: 0.16216216216216217, call frequency: 0.39864864864864863, raise frequency: 0.19594594594594594, fold frequency: 0.24324324324324326
 check frequency: 0.1610738255033557, call frequency: 0.3959731543624161, raise frequency: 0.19463087248322147, fold frequency: 0.2483221476510067
 check frequency: 0.16, call frequency: 0.4, raise frequency: 0.19333333333333333, fold frequency: 0.24666666666666667
 check frequency: 0.15894039735099338, call frequency: 0.3973509933774834, raise frequency: 0.1986754966887417, fold frequency: 0.24503311258278146
 check frequency: 0.15789473684210525, call frequency: 0.39473684210526316, raise frequency: 0.20394736842105263, fold frequency: 0.24342105263157895
 check frequency: 0.1568627450980392, call frequency: 0.39215686274509803, raise frequency: 0.20261437908496732, fold frequency: 0.24836601307189543
 check frequency: 0.15584415584415584, call frequency: 0.38961038961038963, raise frequency: 0.2012987012987013, fold frequency: 0.2532467532467532
 check frequency: 0.16129032258064516, call frequency: 0.3870967741935484, raise frequency: 0.2, fold frequency: 0.25161290322580643
 check frequency: 0.16025641025641027, call frequency: 0.38461538461538464, raise frequency: 0.20512820512820512, fold frequency: 0.25
 check frequency: 0.1592356687898089, call frequency: 0.3821656050955414, raise frequency: 0.20382165605095542, fold frequency: 0.25477707006369427
 check frequency: 0.15822784810126583, call frequency: 0.379746835443038, raise frequency: 0.2088607594936709, fold frequency: 0.25316455696202533
 check frequency: 0.15723270440251572, call frequency: 0.3836477987421384, raise frequency: 0.20754716981132076, fold frequency: 0.25157232704402516
 check frequency: 0.1625, call frequency: 0.38125, raise frequency: 0.20625, fold frequency: 0.25
 check frequency: 0.16149068322981366, call frequency: 0.37888198757763975, raise frequency: 0.20496894409937888, fold frequency: 0.2546583850931677
 check frequency: 0.16049382716049382, call frequency: 0.38271604938271603, raise frequency: 0.2037037037037037, fold frequency: 0.25308641975308643
 check frequency: 0.15950920245398773, call frequency: 0.38650306748466257, raise frequency: 0.20245398773006135, fold frequency: 0.25153374233128833
 check frequency: 0.15853658536585366, call frequency: 0.3902439024390244, raise frequency: 0.20121951219512196, fold frequency: 0.25
 check frequency: 0.16363636363636364, call frequency: 0.3878787878787879, raise frequency: 0.2, fold frequency: 0.24848484848484848
 check frequency: 0.1686746987951807, call frequency: 0.3855421686746988, raise frequency: 0.19879518072289157, fold frequency: 0.2469879518072289
 check frequency: 0.17365269461077845, call frequency: 0.38323353293413176, raise frequency: 0.19760479041916168, fold frequency: 0.24550898203592814
 check frequency: 0.17857142857142858, call frequency: 0.38095238095238093, raise frequency: 0.19642857142857142, fold frequency: 0.24404761904761904
 check frequency: 0.17751479289940827, call frequency: 0.38461538461538464, raise frequency: 0.1952662721893491, fold frequency: 0.24260355029585798
 check frequency: 0.17647058823529413, call frequency: 0.38235294117647056, raise frequency: 0.19411764705882353, fold frequency: 0.24705882352941178
 check frequency: 0.17543859649122806, call frequency: 0.38596491228070173, raise frequency: 0.19298245614035087, fold frequency: 0.24561403508771928
 check frequency: 0.1744186046511628, call frequency: 0.38372093023255816, raise frequency: 0.19186046511627908, fold frequency: 0.25
 check frequency: 0.17341040462427745, call frequency: 0.3815028901734104, raise frequency: 0.1907514450867052, fold frequency: 0.2543352601156069
 check frequency: 0.1724137931034483, call frequency: 0.3793103448275862, raise frequency: 0.1896551724137931, fold frequency: 0.25862068965517243
 check frequency: 0.17142857142857143, call frequency: 0.37714285714285717, raise frequency: 0.18857142857142858, fold frequency: 0.26285714285714284
 check frequency: 0.17045454545454544, call frequency: 0.375, raise frequency: 0.1875, fold frequency: 0.26704545454545453
 check frequency: 0.1694915254237288, call frequency: 0.3728813559322034, raise frequency: 0.1864406779661017, fold frequency: 0.2711864406779661
 check frequency: 0.16853932584269662, call frequency: 0.37640449438202245, raise frequency: 0.1853932584269663, fold frequency: 0.2696629213483146
 check frequency: 0.16759776536312848, call frequency: 0.37988826815642457, raise frequency: 0.18435754189944134, fold frequency: 0.2681564245810056
 check frequency: 0.16666666666666666, call frequency: 0.38333333333333336, raise frequency: 0.18333333333333332, fold frequency: 0.26666666666666666
 check frequency: 0.16574585635359115, call frequency: 0.3812154696132597, raise frequency: 0.1878453038674033, fold frequency: 0.26519337016574585
 check frequency: 0.16483516483516483, call frequency: 0.3791208791208791, raise frequency: 0.19230769230769232, fold frequency: 0.26373626373626374
 check frequency: 0.16393442622950818, call frequency: 0.3825136612021858, raise frequency: 0.1912568306010929, fold frequency: 0.26229508196721313
 check frequency: 0.16304347826086957, call frequency: 0.3804347826086957, raise frequency: 0.1956521739130435, fold frequency: 0.2608695652173913
 check frequency: 0.16216216216216217, call frequency: 0.3783783783783784, raise frequency: 0.2, fold frequency: 0.2594594594594595
 check frequency: 0.16129032258064516, call frequency: 0.3817204301075269, raise frequency: 0.1989247311827957, fold frequency: 0.25806451612903225
 check frequency: 0.16042780748663102, call frequency: 0.3850267379679144, raise frequency: 0.19786096256684493, fold frequency: 0.25668449197860965
 check frequency: 0.1595744680851064, call frequency: 0.3829787234042553, raise frequency: 0.20212765957446807, fold frequency: 0.2553191489361702
